local_authority_code,local_authority_name,total,total,total,total,total,total,total,total,asian,asian,asian,asian,asian,asian,asian,asian,black_british,black_british,black_british,black_british,black_british,black_british,black_british,black_british,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,white,white,white,white,white,white,white,white,other,other,other,other,other,other,other,other
,,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other
E07000134,North West Leicestershire,86165,15812,8570,12133,5567,16173,25818,2092,1288,178,91,135,30,156,657,41,469,36,29,42,10,85,262,5,869,97,65,156,45,201,293,12,83152,15397,8350,11772,5464,15689,24469,2011,387,104,35,28,18,42,137,23
E07000135,Oadby and Wigston,47209,8771,4583,6033,2692,8730,15123,1277,12581,1824,988,1465,225,1915,5840,324,966,84,56,106,28,234,440,18,917,86,100,158,38,253,267,15,31318,6520,3323,4164,2368,6138,7942,863,1427,257,116,140,33,190,634,57
E07000136,Boston,57582,15921,7320,8272,4240,8157,10962,2710,1104,150,63,118,23,77,636,37,361,29,27,29,15,26,221,14,603,152,71,96,27,104,133,20,54856,15269,7094,8002,4131,7928,9831,2601,658,321,65,27,44,22,141,38
E07000137,East Lindsey,121416,30632,13929,18396,8542,20069,26134,3714,916,233,89,72,26,99,356,41,255,35,22,46,9,33,104,6,843,137,81,159,47,167,231,21,119164,30159,13723,18094,8456,19748,25355,3629,238,68,14,25,4,22,88,17
E07000138,Lincoln,87070,15135,8463,11150,4847,22253,22943,2279,2788,451,170,212,52,600,1201,102,1200,90,49,99,27,349,562,24,1395,177,108,165,37,473,410,25,80711,14141,8067,10627,4691,20725,20384,2076,976,276,69,47,40,106,386,52
E07000139,North Kesteven,98017,15888,9741,14572,6342,19663,29278,2533,951,181,82,89,23,91,441,44,337,31,22,39,10,42,184,9,763,73,59,131,25,149,311,15,95664,15528,9563,14283,6280,19334,28216,2460,302,75,15,30,4,47,126,5
E07000140,South Holland,78994,19397,9845,12425,5601,12672,15866,3188,899,160,94,92,21,96,401,35,403,44,33,56,11,46,201,12,682,96,74,143,31,129,190,19,76548,18919,9607,12099,5500,12350,14987,3086,462,178,37,35,38,51,87,36
E07000141,South Kesteven,118004,19963,12431,17947,7709,21229,35552,3173,1951,300,152,184,47,163,1045,60,680,49,51,61,24,82,390,23,1034,93,82,185,39,207,410,18,113864,19408,12108,17476,7583,20718,33515,3056,475,113,38,41,16,59,192,16
E07000142,West Lindsey,79120,14327,8194,11618,5360,14323,23191,2107,898,119,58,89,19,72,513,28,283,27,16,24,11,47,147,11,539,59,51,99,12,116,190,12,77138,14059,8055,11377,5308,14066,22229,2044,262,63,14,29,10,22,112,12
E07000170,Ashfield,102844,24283,12299,16137,6947,18392,22184,2602,1502,281,105,142,35,149,716,74,1133,87,72,124,46,142,642,20,1050,149,107,213,50,228,289,14,98743,23640,11971,15615,6792,17835,20416,2474,416,126,44,43,24,38,121,20
