geography_code,geography_name,age,gender,Claimant count,Population estimate,Claimants percentage
E14000587,Bradford East,Aged 16+,Total,6980.0,87510.0,7.9762312878528165
E14000587,Bradford East,Aged 16-24,Total,1570.0,14960.0,10.494652406417112
E14000588,Bradford South,Aged 16+,Total,4615.0,80582.0,5.727085453327046
E14000588,Bradford South,Aged 16-24,Total,965.0,10991.0,8.779910836138658
E14000589,Bradford West,Aged 16+,Total,7560.0,90063.0,8.394124113120816
E14000589,Bradford West,Aged 16-24,Total,1540.0,18336.0,8.398778359511343
E14000590,Braintree,Aged 16+,Total,1815.0,82421.0,2.2021086858931582
E14000590,Braintree,Aged 16-24,Total,330.0,9026.0,3.6561045867493904
E14000591,Brent Central,Aged 16+,Total,9245.0,115796.0,7.983868181975199
E14000591,Brent Central,Aged 16-24,Total,1310.0,17838.0,7.343872631460926
E14000592,Brent North,Aged 16+,Total,5025.0,105970.0,4.7419080871944885
E14000592,Brent North,Aged 16-24,Total,715.0,14271.0,5.010160465279237
E14000593,Brentford and Isleworth,Aged 16+,Total,4585.0,107960.0,4.246943312337903
E14000593,Brentford and Isleworth,Aged 16-24,Total,615.0,12470.0,4.931836407377706
E14000594,Brentwood and Ongar,Aged 16+,Total,1550.0,79147.0,1.9583812399711928
E14000594,Brentwood and Ongar,Aged 16-24,Total,250.0,8637.0,2.89452356142179
E14000595,Bridgwater and West Somerset,Aged 16+,Total,1975.0,95011.0,2.078706676069087
E14000595,Bridgwater and West Somerset,Aged 16-24,Total,355.0,9749.0,3.641399117858242
E14000596,Brigg and Goole,Aged 16+,Total,1620.0,73631.0,2.200160258586737
E14000596,Brigg and Goole,Aged 16-24,Total,310.0,7262.0,4.268796474800331
E14000597,"Brighton, Kemptown",Aged 16+,Total,2970.0,81935.0,3.624824556050528
E14000597,"Brighton, Kemptown",Aged 16-24,Total,590.0,15783.0,3.738199328391307
E14000598,"Brighton, Pavilion",Aged 16+,Total,3060.0,98492.0,3.1068513178735326
E14000598,"Brighton, Pavilion",Aged 16-24,Total,590.0,25496.0,2.3140884844681517
E14000599,Bristol East,Aged 16+,Total,2595.0,81588.0,3.1806147962935722
E14000599,Bristol East,Aged 16-24,Total,410.0,11286.0,3.6328194222931063
E14000600,Bristol North West,Aged 16+,Total,2195.0,84169.0,2.6078484952892396
E14000600,Bristol North West,Aged 16-24,Total,425.0,13707.0,3.100605530021157
E14000601,Bristol South,Aged 16+,Total,3060.0,89992.0,3.400302249088808
E14000601,Bristol South,Aged 16-24,Total,535.0,11484.0,4.658655520724486
E14000602,Bristol West,Aged 16+,Total,4035.0,124403.0,3.2434909125985705
E14000602,Bristol West,Aged 16-24,Total,595.0,37183.0,1.6001936368770675
E14000603,Broadland,Aged 16+,Total,1240.0,84072.0,1.4749262536873156
E14000603,Broadland,Aged 16-24,Total,235.0,8107.0,2.898729493030714
E14000604,Bromley and Chislehurst,Aged 16+,Total,2185.0,76507.0,2.855947821767943
E14000604,Bromley and Chislehurst,Aged 16-24,Total,345.0,8170.0,4.222766217870257
E14000605,Bromsgrove,Aged 16+,Total,1445.0,81934.0,1.7636146166426634
E14000605,Bromsgrove,Aged 16-24,Total,240.0,8197.0,2.927900451384653
E14000606,Broxbourne,Aged 16+,Total,2095.0,81979.0,2.555532514424426
E14000606,Broxbourne,Aged 16-24,Total,310.0,9741.0,3.1824248023816857
E14000607,Broxtowe,Aged 16+,Total,1565.0,82677.0,1.8929085477218572
E14000607,Broxtowe,Aged 16-24,Total,295.0,10373.0,2.8439217198496096
E14000608,Buckingham,Aged 16+,Total,1300.0,88323.0,1.471870294260838
E14000608,Buckingham,Aged 16-24,Total,180.0,9792.0,1.8382352941176472
E14000609,Burnley,Aged 16+,Total,3560.0,70499.0,5.049717017262656
E14000609,Burnley,Aged 16-24,Total,720.0,8541.0,8.429926238145416
E14000610,Burton,Aged 16+,Total,2755.0,88050.0,3.1289040318001136
E14000610,Burton,Aged 16-24,Total,465.0,10412.0,4.466000768344218
E14000611,Bury North,Aged 16+,Total,2655.0,72188.0,3.67789660331357
E14000611,Bury North,Aged 16-24,Total,540.0,8691.0,6.213324128408699
E14000612,Bury South,Aged 16+,Total,2505.0,79823.0,3.1381932525713143
E14000612,Bury South,Aged 16-24,Total,470.0,9339.0,5.032658742906093
E14000613,Bury St Edmunds,Aged 16+,Total,1760.0,99380.0,1.7709800764741397
E14000613,Bury St Edmunds,Aged 16-24,Total,295.0,10511.0,2.8065835791076013
E14000614,Calder Valley,Aged 16+,Total,1930.0,86277.0,2.2369808871425754
E14000614,Calder Valley,Aged 16-24,Total,395.0,9041.0,4.368985731666851
E14000615,Camberwell and Peckham,Aged 16+,Total,5990.0,103823.0,5.769434518362983
E14000615,Camberwell and Peckham,Aged 16-24,Total,860.0,11557.0,7.441377520117677
E14000616,Camborne and Redruth,Aged 16+,Total,1915.0,78250.0,2.4472843450479234
E14000616,Camborne and Redruth,Aged 16-24,Total,335.0,9991.0,3.35301771594435
E14000617,Cambridge,Aged 16+,Total,2075.0,95425.0,2.174482577940791
E14000617,Cambridge,Aged 16-24,Total,340.0,26437.0,1.286076332412906
E14000618,Cannock Chase,Aged 16+,Total,2160.0,83340.0,2.591792656587473
E14000618,Cannock Chase,Aged 16-24,Total,445.0,9369.0,4.749706478813107
E14000619,Canterbury,Aged 16+,Total,2515.0,103313.0,2.4343499849970476
E14000619,Canterbury,Aged 16-24,Total,535.0,25234.0,2.120155345961798
E14000620,Carlisle,Aged 16+,Total,1545.0,71013.0,2.175657978116683
E14000620,Carlisle,Aged 16-24,Total,220.0,8159.0,2.696408873636475
E14000621,Carshalton and Wallington,Aged 16+,Total,2395.0,81175.0,2.9504157684016015
E14000621,Carshalton and Wallington,Aged 16-24,Total,400.0,9359.0,4.273960893257827
E14000622,Castle Point,Aged 16+,Total,1245.0,74976.0,1.6605313700384121
E14000622,Castle Point,Aged 16-24,Total,260.0,8287.0,3.1374441896947025
E14000623,Central Devon,Aged 16+,Total,1085.0,79099.0,1.3716987572535684
E14000623,Central Devon,Aged 16-24,Total,190.0,7314.0,2.5977577249111294
E14000624,Central Suffolk and North Ipswich,Aged 16+,Total,1190.0,84663.0,1.405572682281516
E14000624,Central Suffolk and North Ipswich,Aged 16-24,Total,210.0,8872.0,2.3669972948602345
E14000625,Charnwood,Aged 16+,Total,1210.0,86258.0,1.4027684388694384
E14000625,Charnwood,Aged 16-24,Total,230.0,9618.0,2.3913495529216053
E14000626,Chatham and Aylesford,Aged 16+,Total,2525.0,80359.0,3.1421496036536043
E14000626,Chatham and Aylesford,Aged 16-24,Total,440.0,9737.0,4.518845640340968
E14000627,Cheadle,Aged 16+,Total,1145.0,76197.0,1.5026838326968253
E14000627,Cheadle,Aged 16-24,Total,185.0,7991.0,2.315104492554123
E14000628,Chelmsford,Aged 16+,Total,2065.0,90663.0,2.277665640889889
E14000628,Chelmsford,Aged 16-24,Total,345.0,10515.0,3.2810271041369474
